iteration,epoch,mode,loss,value
0,0,val,render,0.17717434465885162
0,0,val,total,0.17717434465885162
100,0,train,eikonal,0.0041209133341908455
100,0,train,render,0.5539929866790771
100,0,train,total,0.5544050931930542
200,0,train,eikonal,0.006105082109570503
200,0,train,render,0.6141698360443115
200,0,train,total,0.6147803664207458
399200,836,train,eikonal,0.06707902252674103
399200,836,train,render,0.10321329534053802
399200,836,train,total,0.10992119461297989
399300,837,train,eikonal,0.06443943828344345
399300,837,train,render,0.10830673575401306
399300,837,train,total,0.1147506833076477
399400,837,train,eikonal,0.030175084248185158
399400,837,train,render,0.2954401969909668
399400,837,train,total,0.29845771193504333
399500,837,train,eikonal,0.06505090743303299
399500,837,train,render,0.10564607381820679
399500,837,train,total,0.11215116083621979
399600,837,train,eikonal,0.03533876687288284
399600,837,train,render,0.24883908033370972
399600,837,train,total,0.25237295031547546
399700,837,train,eikonal,0.04870264232158661
399700,837,train,render,0.21100839972496033
399700,837,train,total,0.2158786654472351
399800,838,train,eikonal,0.06513451784849167
399800,838,train,render,0.09721238911151886
399800,838,train,total,0.1037258431315422
399900,838,train,eikonal,0.03582408279180527
399900,838,train,render,0.2990320324897766
399900,838,train,total,0.3026144504547119
400000,838,train,eikonal,0.04758317023515701
400000,838,train,render,0.200050950050354
400000,838,train,total,0.2048092633485794
400100,838,train,eikonal,0.06041254475712776
400100,838,train,render,0.13083654642105103
400100,838,train,total,0.13687780499458313
400200,838,train,eikonal,0.05320904403924942
400200,838,train,render,0.20271916687488556
400200,838,train,total,0.20804007351398468
400300,839,train,eikonal,0.07270556688308716
400300,839,train,render,0.10029745101928711
400300,839,train,total,0.10756801068782806
400400,839,train,eikonal,0.07085444033145905
400400,839,train,render,0.09068982303142548
400400,839,train,total,0.09777526557445526
400500,839,train,eikonal,0.028967080637812614
400500,839,train,render,0.32298439741134644
400500,839,train,total,0.32588109374046326
400600,839,train,eikonal,0.05713465437293053
400600,839,train,render,0.17387136816978455
400600,839,train,total,0.1795848309993744
400700,840,train,eikonal,0.07243490219116211
400700,840,train,render,0.10054544359445572
400700,840,train,total,0.10778893530368805
400800,840,train,eikonal,0.05431240051984787
400800,840,train,render,0.15757158398628235
400800,840,train,total,0.16300281882286072
400900,840,train,eikonal,0.05215315520763397
400900,840,train,render,0.20929747819900513
400900,840,train,total,0.21451279520988464
401000,840,train,eikonal,0.051802948117256165
401000,840,train,render,0.1988409459590912
401000,840,train,total,0.20402124524116516
401100,840,train,eikonal,0.07455721497535706
401100,840,train,render,0.10427813977003098
401100,840,train,total,0.11173386126756668
401200,841,train,eikonal,0.028146663680672646
401200,841,train,render,0.2821539044380188
401200,841,train,total,0.2849685847759247
401300,841,train,eikonal,0.04908547177910805
401300,841,train,render,0.2033313810825348
401300,841,train,total,0.20823992788791656
